id,category_en,category_es,question_en,answer_en,question_es,answer_es,question_bilingual,answer_bilingual,tags,source_url
qa_016,store,tienda,Does the site sell roof sealers?,"Yes. The site has a Roof Sealing department and features CROSSCO Water Guard, CROSSCO Super White, and CROSSCO ES 2000 Plus.",¿El sitio vende selladores de techo?,"Sí. El sitio tiene un departamento de Sellado de techos y destaca CROSSCO Water Guard, CROSSCO Super White y CROSSCO ES 2000 Plus.","EN: Does the site sell roof sealers?
ES: ¿El sitio vende selladores de techo?","EN: Yes. The site has a Roof Sealing department and features CROSSCO Water Guard, CROSSCO Super White, and CROSSCO ES 2000 Plus.
ES: Sí. El sitio tiene un departamento de Sellado de techos y destaca CROSSCO Water Guard, CROSSCO Super White y CROSSCO ES 2000 Plus.",roof sealing,https://ncommercial.vercel.app/
qa_017,store,tienda,Does the site sell tools?,Yes. The Tools department includes products such as the DEWALT 20V MAX Cordless Drill Kit.,¿El sitio vende herramientas?,Sí. El departamento de Herramientas incluye productos como el DEWALT 20V MAX Cordless Drill Kit.,"EN: Does the site sell tools?
ES: ¿El sitio vende herramientas?","EN: Yes. The Tools department includes products such as the DEWALT 20V MAX Cordless Drill Kit.
ES: Sí. El departamento de Herramientas incluye productos como el DEWALT 20V MAX Cordless Drill Kit.",tools,https://ncommercial.vercel.app/
qa_018,store,tienda,Does the site sell plumbing products?,Yes. The Plumbing department includes products such as the Moen Single-Handle Kitchen Faucet.,¿El sitio vende productos de plomería?,Sí. El departamento de Plomería incluye productos como el Moen Single-Handle Kitchen Faucet.,"EN: Does the site sell plumbing products?
ES: ¿El sitio vende productos de plomería?","EN: Yes. The Plumbing department includes products such as the Moen Single-Handle Kitchen Faucet.
ES: Sí. El departamento de Plomería incluye productos como el Moen Single-Handle Kitchen Faucet.",plumbing,https://ncommercial.vercel.app/
qa_019,store,tienda,Does the site sell paint?,Yes. The Paint department includes products such as BEHR Premium Plus Interior Paint 1 Gal.,¿El sitio vende pintura?,Sí. El departamento de Pintura incluye productos como BEHR Premium Plus Interior Paint 1 Gal.,"EN: Does the site sell paint?
ES: ¿El sitio vende pintura?","EN: Yes. The Paint department includes products such as BEHR Premium Plus Interior Paint 1 Gal.
ES: Sí. El departamento de Pintura incluye productos como BEHR Premium Plus Interior Paint 1 Gal.",paint,https://ncommercial.vercel.app/
qa_020,store,tienda,Does the site sell electrical or lighting products?,Yes. The site includes Electrical and Lighting departments and features an EcoSmart LED 60W Equivalent Daylight Bulb 4-Pack.,¿El sitio vende productos eléctricos o de iluminación?,Sí. El sitio incluye departamentos de Eléctrico e Iluminación y destaca el EcoSmart LED 60W Equivalent Daylight Bulb 4-Pack.,"EN: Does the site sell electrical or lighting products?
ES: ¿El sitio vende productos eléctricos o de iluminación?","EN: Yes. The site includes Electrical and Lighting departments and features an EcoSmart LED 60W Equivalent Daylight Bulb 4-Pack.
ES: Sí. El sitio incluye departamentos de Eléctrico e Iluminación y destaca el EcoSmart LED 60W Equivalent Daylight Bulb 4-Pack.","electrical,lighting",https://ncommercial.vercel.app/
qa_021,store,tienda,Does the site sell building materials?,Yes. Building Materials includes Quikrete 60 lb. Concrete Mix.,¿El sitio vende materiales de construcción?,Sí. Materiales de construcción incluye Quikrete 60 lb. Concrete Mix.,"EN: Does the site sell building materials?
ES: ¿El sitio vende materiales de construcción?","EN: Yes. Building Materials includes Quikrete 60 lb. Concrete Mix.
ES: Sí. Materiales de construcción incluye Quikrete 60 lb. Concrete Mix.",building materials,https://ncommercial.vercel.app/
qa_022,store,tienda,Does the site sell garden products?,Yes. Garden products include the True Temper Heavy Duty Wheelbarrow 6 cu ft.,¿El sitio vende productos de jardín?,Sí. Los productos de jardín incluyen la True Temper Heavy Duty Wheelbarrow 6 cu ft.,"EN: Does the site sell garden products?
ES: ¿El sitio vende productos de jardín?","EN: Yes. Garden products include the True Temper Heavy Duty Wheelbarrow 6 cu ft.
ES: Sí. Los productos de jardín incluyen la True Temper Heavy Duty Wheelbarrow 6 cu ft.",garden,https://ncommercial.vercel.app/
qa_023,store,tienda,What customer service links are listed?,"The site lists Help Center, Returns, Shipping Info, and Contact Us under Customer Service.",¿Qué enlaces de servicio al cliente aparecen?,"El sitio lista Help Center, Returns, Shipping Info y Contact Us bajo Customer Service.","EN: What customer service links are listed?
ES: ¿Qué enlaces de servicio al cliente aparecen?","EN: The site lists Help Center, Returns, Shipping Info, and Contact Us under Customer Service.
ES: El sitio lista Help Center, Returns, Shipping Info y Contact Us bajo Customer Service.",customer service,https://ncommercial.vercel.app/
qa_024,store,tienda,What account options are shown?,"The site lists Sign In, Register, Order Status, and Guest Checkout under My Account.",¿Qué opciones de cuenta aparecen?,"El sitio lista Sign In, Register, Order Status y Guest Checkout bajo My Account.","EN: What account options are shown?
ES: ¿Qué opciones de cuenta aparecen?","EN: The site lists Sign In, Register, Order Status, and Guest Checkout under My Account.
ES: El sitio lista Sign In, Register, Order Status y Guest Checkout bajo My Account.",account,https://ncommercial.vercel.app/
qa_025,store,tienda,Can customers use guest checkout?,Yes. Guest Checkout is listed under the My Account section.,¿Los clientes pueden usar guest checkout?,Sí. Guest Checkout aparece bajo la sección My Account.,"EN: Can customers use guest checkout?
ES: ¿Los clientes pueden usar guest checkout?","EN: Yes. Guest Checkout is listed under the My Account section.
ES: Sí. Guest Checkout aparece bajo la sección My Account.",guest checkout,https://ncommercial.vercel.app/
qa_026,Tools,Herramientas,What is DEWALT 20V MAX Cordless Drill Kit?,"DEWALT 20V MAX Cordless Drill Kit is a DEWALT product in the Tools category. Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.",¿Qué es DEWALT 20V MAX Cordless Drill Kit?,"DEWALT 20V MAX Cordless Drill Kit es un producto de DEWALT en la categoría Herramientas. Diseño compacto y liviano que cabe en áreas estrechas. El motor de alto rendimiento entrega 300 unit watts out (UWO) de potencia. Incluye 2 baterías, cargador y estuche.","EN: What is DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué es DEWALT 20V MAX Cordless Drill Kit?","EN: DEWALT 20V MAX Cordless Drill Kit is a DEWALT product in the Tools category. Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.
ES: DEWALT 20V MAX Cordless Drill Kit es un producto de DEWALT en la categoría Herramientas. Diseño compacto y liviano que cabe en áreas estrechas. El motor de alto rendimiento entrega 300 unit watts out (UWO) de potencia. Incluye 2 baterías, cargador y estuche.","DEWALT,DW-DCD771C2",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_027,Tools,Herramientas,How much does DEWALT 20V MAX Cordless Drill Kit cost?,DEWALT 20V MAX Cordless Drill Kit costs $199.99. It is on sale from $249.99 with a 20% savings.,¿Cuánto cuesta DEWALT 20V MAX Cordless Drill Kit?,DEWALT 20V MAX Cordless Drill Kit cuesta $199.99.. Está en oferta desde $249.99 con un ahorro de 20%.,"EN: How much does DEWALT 20V MAX Cordless Drill Kit cost?
ES: ¿Cuánto cuesta DEWALT 20V MAX Cordless Drill Kit?","EN: DEWALT 20V MAX Cordless Drill Kit costs $199.99. It is on sale from $249.99 with a 20% savings.
ES: DEWALT 20V MAX Cordless Drill Kit cuesta $199.99.. Está en oferta desde $249.99 con un ahorro de 20%.","price,cost",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_028,Tools,Herramientas,What is the SKU or item number for DEWALT 20V MAX Cordless Drill Kit?,The SKU/item number for DEWALT 20V MAX Cordless Drill Kit is DW-DCD771C2.,¿Qué es the SKU or item number for DEWALT 20V MAX Cordless Drill Kit?,the SKU or item number for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ,"EN: What is the SKU or item number for DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué es the SKU or item number for DEWALT 20V MAX Cordless Drill Kit?","EN: The SKU/item number for DEWALT 20V MAX Cordless Drill Kit is DW-DCD771C2.
ES: the SKU or item number for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ","sku,item number",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_029,Tools,Herramientas,What is the UPC for DEWALT 20V MAX Cordless Drill Kit?,The UPC for DEWALT 20V MAX Cordless Drill Kit is 885911599832.,¿Qué es the UPC for DEWALT 20V MAX Cordless Drill Kit?,the UPC for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ,"EN: What is the UPC for DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué es the UPC for DEWALT 20V MAX Cordless Drill Kit?","EN: The UPC for DEWALT 20V MAX Cordless Drill Kit is 885911599832.
ES: the UPC for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ","UPC,barcode",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_030,Tools,Herramientas,What brand makes DEWALT 20V MAX Cordless Drill Kit?,DEWALT 20V MAX Cordless Drill Kit is made by DEWALT.,¿Qué marca fabrica DEWALT 20V MAX Cordless Drill Kit?,DEWALT 20V MAX Cordless Drill Kit es fabricado por DEWALT.,"EN: What brand makes DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué marca fabrica DEWALT 20V MAX Cordless Drill Kit?","EN: DEWALT 20V MAX Cordless Drill Kit is made by DEWALT.
ES: DEWALT 20V MAX Cordless Drill Kit es fabricado por DEWALT.",brand,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_031,Tools,Herramientas,How many DEWALT 20V MAX Cordless Drill Kit are in stock?,The site lists 45 units of DEWALT 20V MAX Cordless Drill Kit in stock.,¿Cuántas unidades de DEWALT 20V MAX Cordless Drill Kit hay en inventario?,El sitio lista 45 unidades de DEWALT 20V MAX Cordless Drill Kit en inventario.,"EN: How many DEWALT 20V MAX Cordless Drill Kit are in stock?
ES: ¿Cuántas unidades de DEWALT 20V MAX Cordless Drill Kit hay en inventario?","EN: The site lists 45 units of DEWALT 20V MAX Cordless Drill Kit in stock.
ES: El sitio lista 45 unidades de DEWALT 20V MAX Cordless Drill Kit en inventario.","stock,inventory",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_032,Tools,Herramientas,What is the rating for DEWALT 20V MAX Cordless Drill Kit?,"DEWALT 20V MAX Cordless Drill Kit is rated 4.8 based on 1,247 reviews.",¿Qué es the rating for DEWALT 20V MAX Cordless Drill Kit?,the rating for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ,"EN: What is the rating for DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué es the rating for DEWALT 20V MAX Cordless Drill Kit?","EN: DEWALT 20V MAX Cordless Drill Kit is rated 4.8 based on 1,247 reviews.
ES: the rating for DEWALT 20V MAX Cordless Drill Kit es un producto de  en la categoría Herramientas. ","rating,reviews",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_033,Tools,Herramientas,Can I pick up DEWALT 20V MAX Cordless Drill Kit in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for DEWALT 20V MAX Cordless Drill Kit.,¿Puedo recoger DEWALT 20V MAX Cordless Drill Kit en la tienda?,Sí. La página del producto indica que el recogido está disponible en 1 hora en la tienda de Naguabo para DEWALT 20V MAX Cordless Drill Kit.,"EN: Can I pick up DEWALT 20V MAX Cordless Drill Kit in store?
ES: ¿Puedo recoger DEWALT 20V MAX Cordless Drill Kit en la tienda?","EN: Yes. The product page says pickup is available in 1 hour at the Naguabo store for DEWALT 20V MAX Cordless Drill Kit.
ES: Sí. La página del producto indica que el recogido está disponible en 1 hora en la tienda de Naguabo para DEWALT 20V MAX Cordless Drill Kit.",pickup,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_034,Tools,Herramientas,Does DEWALT 20V MAX Cordless Drill Kit ship?,Yes. The product page says DEWALT 20V MAX Cordless Drill Kit ships in 1-2 days.,¿DEWALT 20V MAX Cordless Drill Kit tiene envío?,Sí. La página del producto indica que DEWALT 20V MAX Cordless Drill Kit se envía en 1 a 2 días.,"EN: Does DEWALT 20V MAX Cordless Drill Kit ship?
ES: ¿DEWALT 20V MAX Cordless Drill Kit tiene envío?","EN: Yes. The product page says DEWALT 20V MAX Cordless Drill Kit ships in 1-2 days.
ES: Sí. La página del producto indica que DEWALT 20V MAX Cordless Drill Kit se envía en 1 a 2 días.",shipping,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_035,Tools,Herramientas,Does DEWALT 20V MAX Cordless Drill Kit qualify for free shipping?,The product page says shipping is free for orders over $99. DEWALT 20V MAX Cordless Drill Kit is listed with that shipping note.,¿DEWALT 20V MAX Cordless Drill Kit tiene envío?,Sí. La página del producto indica que DEWALT 20V MAX Cordless Drill Kit se envía en 1 a 2 días.,"EN: Does DEWALT 20V MAX Cordless Drill Kit qualify for free shipping?
ES: ¿DEWALT 20V MAX Cordless Drill Kit tiene envío?","EN: The product page says shipping is free for orders over $99. DEWALT 20V MAX Cordless Drill Kit is listed with that shipping note.
ES: Sí. La página del producto indica que DEWALT 20V MAX Cordless Drill Kit se envía en 1 a 2 días.","shipping,free over 99",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_036,Tools,Herramientas,What category is DEWALT 20V MAX Cordless Drill Kit in?,DEWALT 20V MAX Cordless Drill Kit is in the Tools category.,¿En qué categoría está DEWALT 20V MAX Cordless Drill Kit?,DEWALT 20V MAX Cordless Drill Kit está en la categoría Herramientas.,"EN: What category is DEWALT 20V MAX Cordless Drill Kit in?
ES: ¿En qué categoría está DEWALT 20V MAX Cordless Drill Kit?","EN: DEWALT 20V MAX Cordless Drill Kit is in the Tools category.
ES: DEWALT 20V MAX Cordless Drill Kit está en la categoría Herramientas.",category,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_037,Tools,Herramientas,Is DEWALT 20V MAX Cordless Drill Kit available at the Naguabo store?,Yes. The product page lists DEWALT 20V MAX Cordless Drill Kit at the Naguabo store with 45 in stock.,¿DEWALT 20V MAX Cordless Drill Kit está disponible en la tienda de Naguabo?,Sí. La página del producto lista DEWALT 20V MAX Cordless Drill Kit en la tienda de Naguabo con 45 unidades en inventario.,"EN: Is DEWALT 20V MAX Cordless Drill Kit available at the Naguabo store?
ES: ¿DEWALT 20V MAX Cordless Drill Kit está disponible en la tienda de Naguabo?","EN: Yes. The product page lists DEWALT 20V MAX Cordless Drill Kit at the Naguabo store with 45 in stock.
ES: Sí. La página del producto lista DEWALT 20V MAX Cordless Drill Kit en la tienda de Naguabo con 45 unidades en inventario.","availability,Naguabo store",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_038,Tools,Herramientas,Can I buy DEWALT 20V MAX Cordless Drill Kit online?,Yes. The product page includes Add to cart and Buy now options for DEWALT 20V MAX Cordless Drill Kit.,¿Puedo comprar DEWALT 20V MAX Cordless Drill Kit online?,Sí. La página del producto incluye opciones de Add to cart y Buy now para DEWALT 20V MAX Cordless Drill Kit.,"EN: Can I buy DEWALT 20V MAX Cordless Drill Kit online?
ES: ¿Puedo comprar DEWALT 20V MAX Cordless Drill Kit online?","EN: Yes. The product page includes Add to cart and Buy now options for DEWALT 20V MAX Cordless Drill Kit.
ES: Sí. La página del producto incluye opciones de Add to cart y Buy now para DEWALT 20V MAX Cordless Drill Kit.","online order,buy now",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_039,Tools,Herramientas,What are the main features of DEWALT 20V MAX Cordless Drill Kit?,"Main details for DEWALT 20V MAX Cordless Drill Kit: Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.",¿Cuáles son las características principales de DEWALT 20V MAX Cordless Drill Kit?,"Detalles principales de DEWALT 20V MAX Cordless Drill Kit: Diseño compacto y liviano que cabe en áreas estrechas. El motor de alto rendimiento entrega 300 unit watts out (UWO) de potencia. Incluye 2 baterías, cargador y estuche.","EN: What are the main features of DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Cuáles son las características principales de DEWALT 20V MAX Cordless Drill Kit?","EN: Main details for DEWALT 20V MAX Cordless Drill Kit: Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.
ES: Detalles principales de DEWALT 20V MAX Cordless Drill Kit: Diseño compacto y liviano que cabe en áreas estrechas. El motor de alto rendimiento entrega 300 unit watts out (UWO) de potencia. Incluye 2 baterías, cargador y estuche.","features,description",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_040,Tools,Herramientas,Is DEWALT 20V MAX Cordless Drill Kit a good option for its department?,"Based on the site listing, DEWALT 20V MAX Cordless Drill Kit is a featured Tools product with a 4.8 rating and 1,247 reviews.",¿DEWALT 20V MAX Cordless Drill Kit es una buena opción para su departamento?,"Según el listado del sitio, DEWALT 20V MAX Cordless Drill Kit es un producto destacado de Herramientas con una calificación de  y  reseñas.","EN: Is DEWALT 20V MAX Cordless Drill Kit a good option for its department?
ES: ¿DEWALT 20V MAX Cordless Drill Kit es una buena opción para su departamento?","EN: Based on the site listing, DEWALT 20V MAX Cordless Drill Kit is a featured Tools product with a 4.8 rating and 1,247 reviews.
ES: Según el listado del sitio, DEWALT 20V MAX Cordless Drill Kit es un producto destacado de Herramientas con una calificación de  y  reseñas.","recommendation,featured",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_041,Tools,Herramientas,Do you have DEWALT DW-DCD771C2?,Yes. DW-DCD771C2 is DEWALT 20V MAX Cordless Drill Kit by DEWALT. The listed price is $199.99 and stock is 45 units.,¿Tienen DEWALT DW-DCD771C2?,Sí. DW-DCD771C2 corresponde a DEWALT 20V MAX Cordless Drill Kit de DEWALT. El precio listado es $199.99 y el inventario es de 45 unidades.,"EN: Do you have DEWALT DW-DCD771C2?
ES: ¿Tienen DEWALT DW-DCD771C2?","EN: Yes. DW-DCD771C2 is DEWALT 20V MAX Cordless Drill Kit by DEWALT. The listed price is $199.99 and stock is 45 units.
ES: Sí. DW-DCD771C2 corresponde a DEWALT 20V MAX Cordless Drill Kit de DEWALT. El precio listado es $199.99 y el inventario es de 45 unidades.","DEWALT,DW-DCD771C2,lookup",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_042,Tools,Herramientas,What should I know before ordering DEWALT 20V MAX Cordless Drill Kit?,"Before ordering DEWALT 20V MAX Cordless Drill Kit, note the price is $199.99, SKU is DW-DCD771C2, stock is 45, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.",¿Qué debo saber antes de ordenar DEWALT 20V MAX Cordless Drill Kit?,"Antes de ordenar DEWALT 20V MAX Cordless Drill Kit, toma en cuenta que el precio es $199.99,, el SKU es DW-DCD771C2, el inventario es 45, el envío aparece como 1 a 2 días y el recogido aparece como 1 hora en la tienda de Naguabo.","EN: What should I know before ordering DEWALT 20V MAX Cordless Drill Kit?
ES: ¿Qué debo saber antes de ordenar DEWALT 20V MAX Cordless Drill Kit?","EN: Before ordering DEWALT 20V MAX Cordless Drill Kit, note the price is $199.99, SKU is DW-DCD771C2, stock is 45, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.
ES: Antes de ordenar DEWALT 20V MAX Cordless Drill Kit, toma en cuenta que el precio es $199.99,, el SKU es DW-DCD771C2, el inventario es 45, el envío aparece como 1 a 2 días y el recogido aparece como 1 hora en la tienda de Naguabo.","ordering,summary",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
