id,category,question,answer,tags,source_url
qa_015,store,What brand is promoted for roofing?,CROSSCO is promoted as a trusted roofing brand on the homepage.,"CROSSCO,roofing",https://ncommercial.vercel.app/
qa_016,store,Does the site sell roof sealers?,"Yes. The site has a Roof Sealing department and features CROSSCO Water Guard, CROSSCO Super White, and CROSSCO ES 2000 Plus.",roof sealing,https://ncommercial.vercel.app/
qa_017,store,Does the site sell tools?,Yes. The Tools department includes products such as the DEWALT 20V MAX Cordless Drill Kit.,tools,https://ncommercial.vercel.app/
qa_018,store,Does the site sell plumbing products?,Yes. The Plumbing department includes products such as the Moen Single-Handle Kitchen Faucet.,plumbing,https://ncommercial.vercel.app/
qa_019,store,Does the site sell paint?,Yes. The Paint department includes products such as BEHR Premium Plus Interior Paint 1 Gal.,paint,https://ncommercial.vercel.app/
qa_020,store,Does the site sell electrical or lighting products?,Yes. The site includes Electrical and Lighting departments and features an EcoSmart LED 60W Equivalent Daylight Bulb 4-Pack.,"electrical,lighting",https://ncommercial.vercel.app/
qa_021,store,Does the site sell building materials?,Yes. Building Materials includes Quikrete 60 lb. Concrete Mix.,building materials,https://ncommercial.vercel.app/
qa_022,store,Does the site sell garden products?,Yes. Garden products include the True Temper Heavy Duty Wheelbarrow 6 cu ft.,garden,https://ncommercial.vercel.app/
qa_023,store,What customer service links are listed?,"The site lists Help Center, Returns, Shipping Info, and Contact Us under Customer Service.",customer service,https://ncommercial.vercel.app/
qa_024,store,What account options are shown?,"The site lists Sign In, Register, Order Status, and Guest Checkout under My Account.",account,https://ncommercial.vercel.app/
qa_025,store,Can customers use guest checkout?,Yes. Guest Checkout is listed under the My Account section.,guest checkout,https://ncommercial.vercel.app/
qa_026,Tools,What is DEWALT 20V MAX Cordless Drill Kit?,"DEWALT 20V MAX Cordless Drill Kit is a DEWALT product in the Tools category. Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.","DEWALT,DW-DCD771C2",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_027,Tools,How much does DEWALT 20V MAX Cordless Drill Kit cost?,DEWALT 20V MAX Cordless Drill Kit costs $199.99. It is on sale from $249.99 with a 20% savings.,"price,cost",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_028,Tools,What is the SKU or item number for DEWALT 20V MAX Cordless Drill Kit?,The SKU/item number for DEWALT 20V MAX Cordless Drill Kit is DW-DCD771C2.,"sku,item number",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_029,Tools,What is the UPC for DEWALT 20V MAX Cordless Drill Kit?,The UPC for DEWALT 20V MAX Cordless Drill Kit is 885911599832.,"UPC,barcode",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_030,Tools,What brand makes DEWALT 20V MAX Cordless Drill Kit?,DEWALT 20V MAX Cordless Drill Kit is made by DEWALT.,brand,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_031,Tools,How many DEWALT 20V MAX Cordless Drill Kit are in stock?,The site lists 45 units of DEWALT 20V MAX Cordless Drill Kit in stock.,"stock,inventory",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_032,Tools,What is the rating for DEWALT 20V MAX Cordless Drill Kit?,"DEWALT 20V MAX Cordless Drill Kit is rated 4.8 based on 1,247 reviews.","rating,reviews",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_033,Tools,Can I pick up DEWALT 20V MAX Cordless Drill Kit in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for DEWALT 20V MAX Cordless Drill Kit.,pickup,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_034,Tools,Does DEWALT 20V MAX Cordless Drill Kit ship?,Yes. The product page says DEWALT 20V MAX Cordless Drill Kit ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_035,Tools,Does DEWALT 20V MAX Cordless Drill Kit qualify for free shipping?,The product page says shipping is free for orders over $99. DEWALT 20V MAX Cordless Drill Kit is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_036,Tools,What category is DEWALT 20V MAX Cordless Drill Kit in?,DEWALT 20V MAX Cordless Drill Kit is in the Tools category.,category,https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_037,Tools,Is DEWALT 20V MAX Cordless Drill Kit available at the Naguabo store?,Yes. The product page lists DEWALT 20V MAX Cordless Drill Kit at the Naguabo store with 45 in stock.,"availability,Naguabo store",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_038,Tools,Can I buy DEWALT 20V MAX Cordless Drill Kit online?,Yes. The product page includes Add to cart and Buy now options for DEWALT 20V MAX Cordless Drill Kit.,"online order,buy now",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_039,Tools,What are the main features of DEWALT 20V MAX Cordless Drill Kit?,"Main details for DEWALT 20V MAX Cordless Drill Kit: Compact, lightweight design fits into tight areas. High performance motor delivers 300 unit watts out (UWO) of power. Includes 2 batteries, charger, and case.","features,description",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_040,Tools,Is DEWALT 20V MAX Cordless Drill Kit a good option for its department?,"Based on the site listing, DEWALT 20V MAX Cordless Drill Kit is a featured Tools product with a 4.8 rating and 1,247 reviews.","recommendation,featured",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_041,Tools,Do you have DEWALT DW-DCD771C2?,Yes. DW-DCD771C2 is DEWALT 20V MAX Cordless Drill Kit by DEWALT. The listed price is $199.99 and stock is 45 units.,"DEWALT,DW-DCD771C2,lookup",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_042,Tools,What should I know before ordering DEWALT 20V MAX Cordless Drill Kit?,"Before ordering DEWALT 20V MAX Cordless Drill Kit, note the price is $199.99, SKU is DW-DCD771C2, stock is 45, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.","ordering,summary",https://ncommercial.vercel.app/store/dewalt-20v-cordless-drill
qa_043,Building Materials,What is Quikrete 60 lb. Concrete Mix?,Quikrete 60 lb. Concrete Mix is a Quikrete product in the Building Materials category. Original 4000 PSI average compressive strength concrete mix. Use for any general concrete application. Just add water.,"Quikrete,QK-1101-60",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_044,Building Materials,How much does Quikrete 60 lb. Concrete Mix cost?,Quikrete 60 lb. Concrete Mix costs $6.48.,"price,cost",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_045,Building Materials,What is the SKU or item number for Quikrete 60 lb. Concrete Mix?,The SKU/item number for Quikrete 60 lb. Concrete Mix is QK-1101-60.,"sku,item number",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_046,Building Materials,What is the UPC for Quikrete 60 lb. Concrete Mix?,The UPC for Quikrete 60 lb. Concrete Mix is 039645011010.,"UPC,barcode",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_047,Building Materials,What brand makes Quikrete 60 lb. Concrete Mix?,Quikrete 60 lb. Concrete Mix is made by Quikrete.,brand,https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_048,Building Materials,How many Quikrete 60 lb. Concrete Mix are in stock?,The site lists 320 units of Quikrete 60 lb. Concrete Mix in stock.,"stock,inventory",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_049,Building Materials,What is the rating for Quikrete 60 lb. Concrete Mix?,Quikrete 60 lb. Concrete Mix is rated 4.6 based on 892 reviews.,"rating,reviews",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_050,Building Materials,Can I pick up Quikrete 60 lb. Concrete Mix in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for Quikrete 60 lb. Concrete Mix.,pickup,https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_051,Building Materials,Does Quikrete 60 lb. Concrete Mix ship?,Yes. The product page says Quikrete 60 lb. Concrete Mix ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_052,Building Materials,Does Quikrete 60 lb. Concrete Mix qualify for free shipping?,The product page says shipping is free for orders over $99. Quikrete 60 lb. Concrete Mix is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_053,Building Materials,What category is Quikrete 60 lb. Concrete Mix in?,Quikrete 60 lb. Concrete Mix is in the Building Materials category.,category,https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_054,Building Materials,Is Quikrete 60 lb. Concrete Mix available at the Naguabo store?,Yes. The product page lists Quikrete 60 lb. Concrete Mix at the Naguabo store with 320 in stock.,"availability,Naguabo store",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_055,Building Materials,Can I buy Quikrete 60 lb. Concrete Mix online?,Yes. The product page includes Add to cart and Buy now options for Quikrete 60 lb. Concrete Mix.,"online order,buy now",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_056,Building Materials,What are the main features of Quikrete 60 lb. Concrete Mix?,Main details for Quikrete 60 lb. Concrete Mix: Original 4000 PSI average compressive strength concrete mix. Use for any general concrete application. Just add water.,"features,description",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_057,Building Materials,Is Quikrete 60 lb. Concrete Mix a good option for its department?,"Based on the site listing, Quikrete 60 lb. Concrete Mix is a featured Building Materials product with a 4.6 rating and 892 reviews.","recommendation,featured",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_058,Building Materials,Do you have Quikrete QK-1101-60?,Yes. QK-1101-60 is Quikrete 60 lb. Concrete Mix by Quikrete. The listed price is $6.48 and stock is 320 units.,"Quikrete,QK-1101-60,lookup",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_059,Building Materials,What should I know before ordering Quikrete 60 lb. Concrete Mix?,"Before ordering Quikrete 60 lb. Concrete Mix, note the price is $6.48, SKU is QK-1101-60, stock is 320, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.","ordering,summary",https://ncommercial.vercel.app/store/quikrete-concrete-mix
qa_060,Plumbing,What is Moen Single-Handle Kitchen Faucet?,Moen Single-Handle Kitchen Faucet is a Moen product in the Plumbing category. Chrome finish with pull-down sprayer. Lifetime limited warranty. Easy installation with included hardware.,"Moen,MN-87039",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_061,Plumbing,How much does Moen Single-Handle Kitchen Faucet cost?,Moen Single-Handle Kitchen Faucet costs $159.00. It is on sale from $199.00 with a 20% savings.,"price,cost",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_062,Plumbing,What is the SKU or item number for Moen Single-Handle Kitchen Faucet?,The SKU/item number for Moen Single-Handle Kitchen Faucet is MN-87039.,"sku,item number",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_063,Plumbing,What is the UPC for Moen Single-Handle Kitchen Faucet?,The UPC for Moen Single-Handle Kitchen Faucet is 026508295731.,"UPC,barcode",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_064,Plumbing,What brand makes Moen Single-Handle Kitchen Faucet?,Moen Single-Handle Kitchen Faucet is made by Moen.,brand,https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_065,Plumbing,How many Moen Single-Handle Kitchen Faucet are in stock?,The site lists 28 units of Moen Single-Handle Kitchen Faucet in stock.,"stock,inventory",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_066,Plumbing,What is the rating for Moen Single-Handle Kitchen Faucet?,Moen Single-Handle Kitchen Faucet is rated 4.7 based on 543 reviews.,"rating,reviews",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_067,Plumbing,Can I pick up Moen Single-Handle Kitchen Faucet in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for Moen Single-Handle Kitchen Faucet.,pickup,https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_068,Plumbing,Does Moen Single-Handle Kitchen Faucet ship?,Yes. The product page says Moen Single-Handle Kitchen Faucet ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_069,Plumbing,Does Moen Single-Handle Kitchen Faucet qualify for free shipping?,The product page says shipping is free for orders over $99. Moen Single-Handle Kitchen Faucet is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_070,Plumbing,What category is Moen Single-Handle Kitchen Faucet in?,Moen Single-Handle Kitchen Faucet is in the Plumbing category.,category,https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_071,Plumbing,Is Moen Single-Handle Kitchen Faucet available at the Naguabo store?,Yes. The product page lists Moen Single-Handle Kitchen Faucet at the Naguabo store with 28 in stock.,"availability,Naguabo store",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_072,Plumbing,Can I buy Moen Single-Handle Kitchen Faucet online?,Yes. The product page includes Add to cart and Buy now options for Moen Single-Handle Kitchen Faucet.,"online order,buy now",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_073,Plumbing,What are the main features of Moen Single-Handle Kitchen Faucet?,Main details for Moen Single-Handle Kitchen Faucet: Chrome finish with pull-down sprayer. Lifetime limited warranty. Easy installation with included hardware.,"features,description",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_074,Plumbing,Is Moen Single-Handle Kitchen Faucet a good option for its department?,"Based on the site listing, Moen Single-Handle Kitchen Faucet is a featured Plumbing product with a 4.7 rating and 543 reviews.","recommendation,featured",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_075,Plumbing,Do you have Moen MN-87039?,Yes. MN-87039 is Moen Single-Handle Kitchen Faucet by Moen. The listed price is $159.00 and stock is 28 units.,"Moen,MN-87039,lookup",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_076,Plumbing,What should I know before ordering Moen Single-Handle Kitchen Faucet?,"Before ordering Moen Single-Handle Kitchen Faucet, note the price is $159.00, SKU is MN-87039, stock is 28, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.","ordering,summary",https://ncommercial.vercel.app/store/moen-kitchen-faucet
qa_077,Paint,What is BEHR Premium Plus Interior Paint 1 Gal?,"BEHR Premium Plus Interior Paint 1 Gal is a BEHR product in the Paint category. Low VOC, eggshell finish. Excellent coverage and durability. Available in thousands of colors.","BEHR,BH-PP-INT-1G",https://ncommercial.vercel.app/store/behr-interior-paint
qa_078,Paint,How much does BEHR Premium Plus Interior Paint 1 Gal cost?,BEHR Premium Plus Interior Paint 1 Gal costs $32.98.,"price,cost",https://ncommercial.vercel.app/store/behr-interior-paint
qa_079,Paint,What is the SKU or item number for BEHR Premium Plus Interior Paint 1 Gal?,The SKU/item number for BEHR Premium Plus Interior Paint 1 Gal is BH-PP-INT-1G.,"sku,item number",https://ncommercial.vercel.app/store/behr-interior-paint
qa_080,Paint,What is the UPC for BEHR Premium Plus Interior Paint 1 Gal?,The UPC for BEHR Premium Plus Interior Paint 1 Gal is 082474200056.,"UPC,barcode",https://ncommercial.vercel.app/store/behr-interior-paint
qa_081,Paint,What brand makes BEHR Premium Plus Interior Paint 1 Gal?,BEHR Premium Plus Interior Paint 1 Gal is made by BEHR.,brand,https://ncommercial.vercel.app/store/behr-interior-paint
qa_082,Paint,How many BEHR Premium Plus Interior Paint 1 Gal are in stock?,The site lists 156 units of BEHR Premium Plus Interior Paint 1 Gal in stock.,"stock,inventory",https://ncommercial.vercel.app/store/behr-interior-paint
qa_083,Paint,What is the rating for BEHR Premium Plus Interior Paint 1 Gal?,"BEHR Premium Plus Interior Paint 1 Gal is rated 4.7 based on 2,103 reviews.","rating,reviews",https://ncommercial.vercel.app/store/behr-interior-paint
qa_084,Paint,Can I pick up BEHR Premium Plus Interior Paint 1 Gal in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for BEHR Premium Plus Interior Paint 1 Gal.,pickup,https://ncommercial.vercel.app/store/behr-interior-paint
qa_085,Paint,Does BEHR Premium Plus Interior Paint 1 Gal ship?,Yes. The product page says BEHR Premium Plus Interior Paint 1 Gal ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/behr-interior-paint
qa_086,Paint,Does BEHR Premium Plus Interior Paint 1 Gal qualify for free shipping?,The product page says shipping is free for orders over $99. BEHR Premium Plus Interior Paint 1 Gal is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/behr-interior-paint
qa_087,Paint,What category is BEHR Premium Plus Interior Paint 1 Gal in?,BEHR Premium Plus Interior Paint 1 Gal is in the Paint category.,category,https://ncommercial.vercel.app/store/behr-interior-paint
qa_088,Paint,Is BEHR Premium Plus Interior Paint 1 Gal available at the Naguabo store?,Yes. The product page lists BEHR Premium Plus Interior Paint 1 Gal at the Naguabo store with 156 in stock.,"availability,Naguabo store",https://ncommercial.vercel.app/store/behr-interior-paint
qa_089,Paint,Can I buy BEHR Premium Plus Interior Paint 1 Gal online?,Yes. The product page includes Add to cart and Buy now options for BEHR Premium Plus Interior Paint 1 Gal.,"online order,buy now",https://ncommercial.vercel.app/store/behr-interior-paint
qa_090,Paint,What are the main features of BEHR Premium Plus Interior Paint 1 Gal?,"Main details for BEHR Premium Plus Interior Paint 1 Gal: Low VOC, eggshell finish. Excellent coverage and durability. Available in thousands of colors.","features,description",https://ncommercial.vercel.app/store/behr-interior-paint
qa_091,Paint,Is BEHR Premium Plus Interior Paint 1 Gal a good option for its department?,"Based on the site listing, BEHR Premium Plus Interior Paint 1 Gal is a featured Paint product with a 4.7 rating and 2,103 reviews.","recommendation,featured",https://ncommercial.vercel.app/store/behr-interior-paint
qa_092,Paint,Do you have BEHR BH-PP-INT-1G?,Yes. BH-PP-INT-1G is BEHR Premium Plus Interior Paint 1 Gal by BEHR. The listed price is $32.98 and stock is 156 units.,"BEHR,BH-PP-INT-1G,lookup",https://ncommercial.vercel.app/store/behr-interior-paint
qa_093,Paint,What should I know before ordering BEHR Premium Plus Interior Paint 1 Gal?,"Before ordering BEHR Premium Plus Interior Paint 1 Gal, note the price is $32.98, SKU is BH-PP-INT-1G, stock is 156, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.","ordering,summary",https://ncommercial.vercel.app/store/behr-interior-paint
qa_094,Electrical / Lighting,What is LED 60W Equivalent Daylight Bulb 4-Pack?,"LED 60W Equivalent Daylight Bulb 4-Pack is a EcoSmart product in the Electrical / Lighting category. Energy-saving LED bulb. 800 lumens. 5000K daylight. Lasts up to 15,000 hours.","EcoSmart,LED-60W-4PK",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_095,Electrical / Lighting,How much does LED 60W Equivalent Daylight Bulb 4-Pack cost?,LED 60W Equivalent Daylight Bulb 4-Pack costs $9.97.,"price,cost",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_096,Electrical / Lighting,What is the SKU or item number for LED 60W Equivalent Daylight Bulb 4-Pack?,The SKU/item number for LED 60W Equivalent Daylight Bulb 4-Pack is LED-60W-4PK.,"sku,item number",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_097,Electrical / Lighting,What is the UPC for LED 60W Equivalent Daylight Bulb 4-Pack?,The UPC for LED 60W Equivalent Daylight Bulb 4-Pack is 046135710179.,"UPC,barcode",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_098,Electrical / Lighting,What brand makes LED 60W Equivalent Daylight Bulb 4-Pack?,LED 60W Equivalent Daylight Bulb 4-Pack is made by EcoSmart.,brand,https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_099,Electrical / Lighting,How many LED 60W Equivalent Daylight Bulb 4-Pack are in stock?,The site lists 234 units of LED 60W Equivalent Daylight Bulb 4-Pack in stock.,"stock,inventory",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_100,Electrical / Lighting,What is the rating for LED 60W Equivalent Daylight Bulb 4-Pack?,"LED 60W Equivalent Daylight Bulb 4-Pack is rated 4.6 based on 4,521 reviews.","rating,reviews",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_101,Electrical / Lighting,Can I pick up LED 60W Equivalent Daylight Bulb 4-Pack in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for LED 60W Equivalent Daylight Bulb 4-Pack.,pickup,https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_102,Electrical / Lighting,Does LED 60W Equivalent Daylight Bulb 4-Pack ship?,Yes. The product page says LED 60W Equivalent Daylight Bulb 4-Pack ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_103,Electrical / Lighting,Does LED 60W Equivalent Daylight Bulb 4-Pack qualify for free shipping?,The product page says shipping is free for orders over $99. LED 60W Equivalent Daylight Bulb 4-Pack is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_104,Electrical / Lighting,What category is LED 60W Equivalent Daylight Bulb 4-Pack in?,LED 60W Equivalent Daylight Bulb 4-Pack is in the Electrical / Lighting category.,category,https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_105,Electrical / Lighting,Is LED 60W Equivalent Daylight Bulb 4-Pack available at the Naguabo store?,Yes. The product page lists LED 60W Equivalent Daylight Bulb 4-Pack at the Naguabo store with 234 in stock.,"availability,Naguabo store",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_106,Electrical / Lighting,Can I buy LED 60W Equivalent Daylight Bulb 4-Pack online?,Yes. The product page includes Add to cart and Buy now options for LED 60W Equivalent Daylight Bulb 4-Pack.,"online order,buy now",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_107,Electrical / Lighting,What are the main features of LED 60W Equivalent Daylight Bulb 4-Pack?,"Main details for LED 60W Equivalent Daylight Bulb 4-Pack: Energy-saving LED bulb. 800 lumens. 5000K daylight. Lasts up to 15,000 hours.","features,description",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_108,Electrical / Lighting,Is LED 60W Equivalent Daylight Bulb 4-Pack a good option for its department?,"Based on the site listing, LED 60W Equivalent Daylight Bulb 4-Pack is a featured Electrical / Lighting product with a 4.6 rating and 4,521 reviews.","recommendation,featured",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_109,Electrical / Lighting,Do you have EcoSmart LED-60W-4PK?,Yes. LED-60W-4PK is LED 60W Equivalent Daylight Bulb 4-Pack by EcoSmart. The listed price is $9.97 and stock is 234 units.,"EcoSmart,LED-60W-4PK,lookup",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_110,Electrical / Lighting,What should I know before ordering LED 60W Equivalent Daylight Bulb 4-Pack?,"Before ordering LED 60W Equivalent Daylight Bulb 4-Pack, note the price is $9.97, SKU is LED-60W-4PK, stock is 234, shipping is listed as 1-2 days, and pickup is listed as 1 hour at the Naguabo store.","ordering,summary",https://ncommercial.vercel.app/store/led-60w-bulb-4pack
qa_111,Garden,What is Heavy Duty Wheelbarrow 6 cu ft?,"Heavy Duty Wheelbarrow 6 cu ft is a True Temper product in the Garden category. Steel tray, hardwood handles. Pneumatic tire. Great for gardening and construction.","True Temper,WB-6CF-HD",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_112,Garden,How much does Heavy Duty Wheelbarrow 6 cu ft cost?,Heavy Duty Wheelbarrow 6 cu ft costs $89.00. It is on sale from $119.00 with a 25% savings.,"price,cost",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_113,Garden,What is the SKU or item number for Heavy Duty Wheelbarrow 6 cu ft?,The SKU/item number for Heavy Duty Wheelbarrow 6 cu ft is WB-6CF-HD.,"sku,item number",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_114,Garden,What is the UPC for Heavy Duty Wheelbarrow 6 cu ft?,The UPC for Heavy Duty Wheelbarrow 6 cu ft is 745035811563.,"UPC,barcode",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_115,Garden,What brand makes Heavy Duty Wheelbarrow 6 cu ft?,Heavy Duty Wheelbarrow 6 cu ft is made by True Temper.,brand,https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_116,Garden,How many Heavy Duty Wheelbarrow 6 cu ft are in stock?,The site lists 24 units of Heavy Duty Wheelbarrow 6 cu ft in stock.,"stock,inventory",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_117,Garden,What is the rating for Heavy Duty Wheelbarrow 6 cu ft?,Heavy Duty Wheelbarrow 6 cu ft is rated 4.5 based on 234 reviews.,"rating,reviews",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_118,Garden,Can I pick up Heavy Duty Wheelbarrow 6 cu ft in store?,Yes. The product page says pickup is available in 1 hour at the Naguabo store for Heavy Duty Wheelbarrow 6 cu ft.,pickup,https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_119,Garden,Does Heavy Duty Wheelbarrow 6 cu ft ship?,Yes. The product page says Heavy Duty Wheelbarrow 6 cu ft ships in 1-2 days.,shipping,https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_120,Garden,Does Heavy Duty Wheelbarrow 6 cu ft qualify for free shipping?,The product page says shipping is free for orders over $99. Heavy Duty Wheelbarrow 6 cu ft is listed with that shipping note.,"shipping,free over 99",https://ncommercial.vercel.app/store/wheelbarrow-6cuft
qa_121,Garden,What category is Heavy Duty Wheelbarrow 6 cu ft in?,Heavy Duty Wheelbarrow 6 cu ft is in the Garden category.,category,https://ncommercial.vercel.app/store/wheelbarrow-6cuft
